MM/DD/YYYY,ID,YEAR,MONTH,DAY,TMAX,TMAX_FLAGS,TAVG,TAVG_FLAGS,TMIN,TMIN_FLAGS,PRCP,PRCP_FLAGS,SNWD,SNWD_FLAGS
1957-02-13,ET000063450,1957,2,13,239.0,__S,181.0,H_S,,,,,,
1957-07-01,ET000063450,1957,7,1,239.0,__S,152.0,H_S,111.0,__S,89.0,__S,,
1957-07-02,ET000063450,1957,7,2,239.0,__S,156.0,H_S,100.0,__S,10.0,__S,,
1957-07-03,ET000063450,1957,7,3,211.0,__S,149.0,H_S,122.0,__S,79.0,__S,,
1957-07-04,ET000063450,1957,7,4,211.0,__S,146.0,H_S,111.0,__S,10.0,__S,,
1957-07-05,ET000063450,1957,7,5,228.0,__S,152.0,H_S,100.0,__S,0.0,__S,,
1957-07-06,ET000063450,1957,7,6,222.0,__S,140.0,H_S,89.0,__S,20.0,__S,,
1957-07-07,ET000063450,1957,7,7,222.0,__S,135.0,H_S,89.0,__S,0.0,__S,,
1957-07-08,ET000063450,1957,7,8,222.0,__S,153.0,H_S,89.0,__S,41.0,__S,,
1957-07-09,ET000063450,1957,7,9,211.0,__S,143.0,H_S,100.0,__S,10.0,__S,,
1957-07-10,ET000063450,1957,7,10,228.0,__S,148.0,H_S,111.0,__S,41.0,__S,,
1957-07-11,ET000063450,1957,7,11,228.0,__S,138.0,H_S,111.0,__S,109.0,__S,,
1957-07-12,ET000063450,1957,7,12,222.0,__S,143.0,H_S,89.0,__S,10.0,__S,,
1957-07-13,ET000063450,1957,7,13,200.0,__S,137.0,H_S,72.0,__S,5.0,__S,,
1957-07-14,ET000063450,1957,7,14,222.0,__S,153.0,H_S,89.0,__S,3.0,__S,,
1957-07-15,ET000063450,1957,7,15,222.0,__S,153.0,H_S,89.0,__S,10.0,__S,,
1957-07-16,ET000063450,1957,7,16,172.0,__S,143.0,H_S,122.0,__S,30.0,__S,,
1957-07-17,ET000063450,1957,7,17,189.0,__S,140.0,H_S,111.0,__S,0.0,__S,,
1957-07-18,ET000063450,1957,7,18,200.0,__S,150.0,H_S,100.0,__S,51.0,__S,,
1957-07-19,ET000063450,1957,7,19,189.0,__S,143.0,H_S,111.0,__S,89.0,__S,,
1957-07-20,ET000063450,1957,7,20,211.0,__S,150.0,H_S,122.0,__S,41.0,__S,,
1957-07-21,ET000063450,1957,7,21,228.0,__S,149.0,H_S,111.0,__S,99.0,__S,,
1957-07-22,ET000063450,1957,7,22,211.0,__S,150.0,H_S,100.0,__S,0.0,__S,,
1957-07-23,ET000063450,1957,7,23,178.0,__S,132.0,H_S,100.0,__S,140.0,__S,,
1957-07-24,ET000063450,1957,7,24,222.0,__S,144.0,H_S,89.0,__S,30.0,__S,,
1957-07-25,ET000063450,1957,7,25,228.0,__S,150.0,H_S,78.0,__S,10.0,__S,,
1957-07-26,ET000063450,1957,7,26,211.0,__S,144.0,H_S,100.0,__S,20.0,__S,,
1957-07-27,ET000063450,1957,7,27,228.0,__S,178.0,H_S,111.0,__S,109.0,__S,,
1957-07-29,ET000063450,1957,7,29,211.0,__S,135.0,H_S,111.0,__S,130.0,__S,,
1957-07-30,ET000063450,1957,7,30,200.0,__S,136.0,H_S,89.0,__S,51.0,__S,,
1957-07-31,ET000063450,1957,7,31,211.0,__S,147.0,H_S,100.0,__S,0.0,__S,,
1957-08-01,ET000063450,1957,8,1,200.0,__S,132.0,H_S,100.0,__S,0.0,__S,,
1957-08-02,ET000063450,1957,8,2,200.0,__S,143.0,H_S,111.0,__S,61.0,__S,,
1957-08-03,ET000063450,1957,8,3,200.0,__S,162.0,H_S,111.0,__S,0.0,__S,,
1957-08-04,ET000063450,1957,8,4,178.0,__S,135.0,H_S,111.0,__S,30.0,__S,,
1957-08-05,ET000063450,1957,8,5,228.0,__S,140.0,H_S,100.0,__S,0.0,__S,,
1957-08-06,ET000063450,1957,8,6,200.0,__S,139.0,H_S,111.0,__S,,,,
1957-08-07,ET000063450,1957,8,7,222.0,__S,147.0,H_S,89.0,__S,0.0,__S,,
1957-08-08,ET000063450,1957,8,8,178.0,__S,138.0,H_S,111.0,__S,119.0,__S,,
1957-08-09,ET000063450,1957,8,9,178.0,__S,140.0,H_S,111.0,__S,41.0,__S,,
1957-08-10,ET000063450,1957,8,10,172.0,__S,127.0,H_S,100.0,__S,0.0,__S,,
1957-08-11,ET000063450,1957,8,11,200.0,__S,146.0,H_S,100.0,__S,0.0,__S,,
1957-08-12,ET000063450,1957,8,12,211.0,__S,153.0,H_S,100.0,__S,71.0,__S,,
1957-08-14,ET000063450,1957,8,14,200.0,__S,138.0,H_S,111.0,__S,20.0,__S,,
1957-08-15,ET000063450,1957,8,15,228.0,__S,162.0,H_S,111.0,__S,20.0,__S,,
1957-08-16,ET000063450,1957,8,16,222.0,__S,163.0,H_S,111.0,__S,0.0,__S,,
1957-08-17,ET000063450,1957,8,17,211.0,__S,154.0,H_S,111.0,__S,140.0,__S,,
1957-08-18,ET000063450,1957,8,18,222.0,__S,157.0,H_S,100.0,__S,89.0,__S,,
1957-08-19,ET000063450,1957,8,19,211.0,__S,141.0,H_S,100.0,__S,30.0,__S,,
1957-08-20,ET000063450,1957,8,20,222.0,__S,148.0,H_S,100.0,__S,10.0,__S,,
1957-08-21,ET000063450,1957,8,21,211.0,__S,151.0,H_S,111.0,__S,20.0,__S,,
1957-08-22,ET000063450,1957,8,22,211.0,__S,147.0,H_S,100.0,__S,89.0,__S,,
1957-08-23,ET000063450,1957,8,23,211.0,__S,152.0,H_S,122.0,__S,10.0,__S,,
1957-08-24,ET000063450,1957,8,24,211.0,__S,150.0,H_S,111.0,__S,41.0,__S,,
1957-08-25,ET000063450,1957,8,25,211.0,__S,144.0,H_S,89.0,__S,0.0,__S,,
1957-08-27,ET000063450,1957,8,27,222.0,__S,147.0,H_S,111.0,__S,30.0,__S,,
1957-08-28,ET000063450,1957,8,28,222.0,__S,160.0,H_S,100.0,__S,119.0,__S,,
1957-08-29,ET000063450,1957,8,29,200.0,__S,150.0,H_S,89.0,__S,0.0,__S,,
1957-08-30,ET000063450,1957,8,30,222.0,__S,159.0,H_S,100.0,__S,0.0,__S,,
1957-08-31,ET000063450,1957,8,31,211.0,__S,141.0,H_S,100.0,__S,0.0,__S,,
1957-09-01,ET000063450,1957,9,1,211.0,__S,141.0,H_S,111.0,__S,0.0,__S,,
1957-09-02,ET000063450,1957,9,2,211.0,__S,132.0,H_S,100.0,__S,30.0,__S,,
1957-09-03,ET000063450,1957,9,3,222.0,__S,152.0,H_S,89.0,__S,30.0,__S,,
1957-09-04,ET000063450,1957,9,4,211.0,__S,146.0,H_S,100.0,__S,0.0,__S,,
1957-09-05,ET000063450,1957,9,5,189.0,__S,134.0,H_S,89.0,__S,3.0,__S,,
1957-09-06,ET000063450,1957,9,6,172.0,__S,119.0,H_S,89.0,__S,20.0,__S,,
1957-09-07,ET000063450,1957,9,7,200.0,__S,144.0,H_S,100.0,__S,51.0,__S,,
1957-09-08,ET000063450,1957,9,8,222.0,__S,161.0,H_S,100.0,__S,51.0,__S,,
1957-09-09,ET000063450,1957,9,9,228.0,__S,172.0,H_S,78.0,__S,0.0,__S,,
1957-09-10,ET000063450,1957,9,10,200.0,__S,144.0,H_S,111.0,__S,0.0,__S,,
1957-09-11,ET000063450,1957,9,11,222.0,__S,153.0,H_S,78.0,__S,0.0,__S,,
1957-09-12,ET000063450,1957,9,12,222.0,__S,176.0,H_S,100.0,__S,0.0,__S,,
1957-09-13,ET000063450,1957,9,13,228.0,__S,164.0,H_S,78.0,__S,0.0,__S,,
1957-09-14,ET000063450,1957,9,14,211.0,__S,153.0,H_S,89.0,__S,0.0,__S,,
1957-09-15,ET000063450,1957,9,15,228.0,__S,162.0,H_S,89.0,__S,0.0,__S,,
1957-09-16,ET000063450,1957,9,16,228.0,__S,150.0,H_S,100.0,__S,0.0,__S,,
1957-09-17,ET000063450,1957,9,17,211.0,__S,157.0,H_S,111.0,__S,10.0,__S,,
1957-09-18,ET000063450,1957,9,18,222.0,__S,142.0,H_S,100.0,__S,41.0,__S,,
1957-09-19,ET000063450,1957,9,19,228.0,__S,156.0,H_S,,,0.0,__S,,
1957-09-20,ET000063450,1957,9,20,228.0,__S,143.0,H_S,89.0,__S,0.0,__S,,
1957-09-21,ET000063450,1957,9,21,222.0,__S,156.0,H_S,78.0,__S,0.0,__S,,
1957-09-22,ET000063450,1957,9,22,228.0,__S,168.0,H_S,61.0,__S,0.0,__S,,
1957-09-24,ET000063450,1957,9,24,239.0,__S,186.0,H_S,72.0,__S,0.0,__S,,
1957-09-25,ET000063450,1957,9,25,239.0,__S,172.0,H_S,72.0,__S,0.0,__S,,
1957-09-26,ET000063450,1957,9,26,228.0,__S,190.0,H_S,72.0,__S,0.0,__S,,
1957-09-27,ET000063450,1957,9,27,250.0,__S,163.0,H_S,78.0,__S,0.0,__S,,
1957-09-28,ET000063450,1957,9,28,250.0,__S,174.0,H_S,78.0,__S,0.0,__S,,
1957-09-29,ET000063450,1957,9,29,250.0,__S,184.0,H_S,72.0,__S,0.0,__S,,
1957-09-30,ET000063450,1957,9,30,239.0,__S,169.0,H_S,100.0,__S,0.0,__S,,
1957-10-01,ET000063450,1957,10,1,228.0,__S,162.0,H_S,78.0,__S,0.0,__S,,
1957-10-02,ET000063450,1957,10,2,239.0,__S,165.0,H_S,61.0,__S,0.0,__S,,
1957-10-03,ET000063450,1957,10,3,228.0,__S,180.0,H_S,72.0,__S,0.0,__S,,
1957-10-04,ET000063450,1957,10,4,228.0,__S,164.0,H_S,78.0,__S,0.0,__S,,
1957-10-05,ET000063450,1957,10,5,228.0,__S,157.0,H_S,78.0,__S,0.0,__S,,
1957-10-06,ET000063450,1957,10,6,228.0,__S,152.0,H_S,72.0,__S,0.0,__S,,
1957-10-07,ET000063450,1957,10,7,228.0,__S,172.0,H_S,78.0,__S,0.0,__S,,
1957-10-08,ET000063450,1957,10,8,239.0,__S,161.0,H_S,61.0,__S,0.0,__S,,
1957-10-09,ET000063450,1957,10,9,239.0,__S,161.0,H_S,61.0,__S,0.0,__S,,
1957-10-10,ET000063450,1957,10,10,239.0,__S,163.0,H_S,78.0,__S,0.0,__S,,
1957-10-11,ET000063450,1957,10,11,250.0,__S,161.0,H_S,78.0,__S,0.0,__S,,
1957-10-12,ET000063450,1957,10,12,239.0,__S,161.0,H_S,111.0,__S,0.0,__S,,
1957-10-13,ET000063450,1957,10,13,228.0,__S,143.0,H_S,89.0,__S,0.0,__S,,
1957-10-14,ET000063450,1957,10,14,239.0,__S,147.0,H_S,72.0,__S,10.0,__S,,
1957-10-15,ET000063450,1957,10,15,232.0,__S,147.0,H_S,61.0,__S,0.0,__S,,
1957-10-16,ET000063450,1957,10,16,228.0,__S,158.0,H_S,72.0,__S,0.0,__S,,
1957-10-17,ET000063450,1957,10,17,228.0,__S,143.0,H_S,61.0,__S,0.0,__S,,
1957-10-18,ET000063450,1957,10,18,228.0,__S,157.0,H_S,111.0,__S,0.0,__S,,
1957-10-19,ET000063450,1957,10,19,222.0,__S,140.0,H_S,111.0,__S,0.0,__S,,
1957-10-20,ET000063450,1957,10,20,228.0,__S,119.0,H_S,61.0,__S,0.0,__S,,
1957-10-21,ET000063450,1957,10,21,228.0,__S,153.0,H_S,61.0,__S,0.0,__S,,
1957-10-22,ET000063450,1957,10,22,250.0,__S,149.0,H_S,50.0,__S,0.0,__S,,
1957-10-23,ET000063450,1957,10,23,239.0,__S,170.0,H_S,50.0,__S,0.0,__S,,
1957-10-24,ET000063450,1957,10,24,250.0,__S,144.0,H_S,39.0,__S,0.0,__S,,
1957-10-25,ET000063450,1957,10,25,228.0,__S,161.0,H_S,39.0,__S,0.0,__S,,
1957-10-26,ET000063450,1957,10,26,228.0,__S,169.0,H_S,50.0,__S,0.0,__S,,
1957-10-27,ET000063450,1957,10,27,228.0,__S,130.0,H_S,39.0,__S,0.0,__S,,
1957-10-28,ET000063450,1957,10,28,228.0,__S,135.0,H_S,28.0,__S,0.0,__S,,
1957-10-29,ET000063450,1957,10,29,228.0,__S,126.0,H_S,22.0,__S,0.0,__S,,
1957-10-30,ET000063450,1957,10,30,222.0,__S,128.0,H_S,28.0,__S,0.0,__S,,
1957-10-31,ET000063450,1957,10,31,222.0,__S,129.0,H_S,39.0,__S,0.0,__S,,
1957-11-01,ET000063450,1957,11,1,228.0,__S,137.0,H_S,28.0,__S,0.0,__S,,
1957-11-02,ET000063450,1957,11,2,228.0,__S,148.0,H_S,28.0,__S,0.0,__S,,
1957-11-04,ET000063450,1957,11,4,228.0,__S,157.0,H_S,89.0,__S,0.0,__S,,
1957-11-05,ET000063450,1957,11,5,228.0,__S,169.0,H_S,50.0,__S,0.0,__S,,
1957-11-06,ET000063450,1957,11,6,228.0,__S,127.0,H_S,39.0,__S,0.0,__S,,
1957-11-07,ET000063450,1957,11,7,228.0,__S,150.0,H_S,39.0,__S,0.0,__S,,
1957-11-08,ET000063450,1957,11,8,228.0,__S,150.0,H_S,28.0,__S,0.0,__S,,
1957-11-09,ET000063450,1957,11,9,239.0,__S,162.0,H_S,39.0,__S,0.0,__S,,
1957-11-10,ET000063450,1957,11,10,239.0,__S,131.0,H_S,50.0,__S,0.0,__S,,
1957-11-11,ET000063450,1957,11,11,239.0,__S,154.0,H_S,50.0,__S,0.0,__S,,
1957-11-12,ET000063450,1957,11,12,239.0,__S,147.0,H_S,100.0,__S,0.0,__S,,
1957-11-13,ET000063450,1957,11,13,228.0,__S,151.0,H_S,61.0,__S,0.0,__S,,
1957-11-14,ET000063450,1957,11,14,228.0,__S,151.0,H_S,50.0,__S,0.0,__S,,
1957-11-15,ET000063450,1957,11,15,239.0,__S,159.0,H_S,50.0,__S,0.0,__S,,
1957-11-16,ET000063450,1957,11,16,239.0,__S,171.0,H_S,50.0,__S,0.0,__S,,
1957-11-19,ET000063450,1957,11,19,239.0,__S,150.0,H_S,50.0,__S,0.0,__S,,
1957-11-20,ET000063450,1957,11,20,239.0,__S,140.0,H_S,39.0,__S,0.0,__S,,
1957-11-21,ET000063450,1957,11,21,250.0,__S,169.0,H_S,39.0,__S,0.0,__S,,
1957-11-22,ET000063450,1957,11,22,228.0,__S,138.0,H_S,61.0,__S,0.0,__S,,
1957-11-23,ET000063450,1957,11,23,239.0,__S,158.0,H_S,72.0,__S,0.0,__S,,
1957-11-24,ET000063450,1957,11,24,228.0,__S,144.0,H_S,61.0,__S,0.0,__S,,
1957-11-25,ET000063450,1957,11,25,222.0,__S,131.0,H_S,50.0,__S,0.0,__S,,
1957-11-26,ET000063450,1957,11,26,222.0,__S,158.0,H_S,39.0,__S,0.0,__S,,
1957-11-27,ET000063450,1957,11,27,228.0,__S,141.0,H_S,50.0,__S,0.0,__S,,
1957-11-28,ET000063450,1957,11,28,228.0,__S,156.0,H_S,61.0,__S,0.0,__S,,
1957-11-29,ET000063450,1957,11,29,239.0,__S,168.0,H_S,61.0,__S,0.0,__S,,
1957-11-30,ET000063450,1957,11,30,239.0,__S,167.0,H_S,78.0,__S,0.0,__S,,
1957-12-01,ET000063450,1957,12,1,261.0,__S,165.0,H_S,89.0,__S,10.0,__S,,
1957-12-02,ET000063450,1957,12,2,239.0,__S,154.0,H_S,61.0,__S,0.0,__S,,
1957-12-03,ET000063450,1957,12,3,239.0,__S,124.0,H_S,50.0,__S,0.0,__S,,
1957-12-04,ET000063450,1957,12,4,228.0,__S,118.0,H_S,39.0,__S,0.0,__S,,
1957-12-05,ET000063450,1957,12,5,239.0,__S,147.0,H_S,39.0,__S,0.0,__S,,
1957-12-06,ET000063450,1957,12,6,250.0,__S,149.0,H_S,61.0,__S,0.0,__S,,
1957-12-07,ET000063450,1957,12,7,239.0,__S,151.0,H_S,72.0,__S,0.0,__S,,
1957-12-08,ET000063450,1957,12,8,239.0,__S,140.0,H_S,78.0,__S,0.0,__S,,
1957-12-09,ET000063450,1957,12,9,250.0,__S,160.0,H_S,61.0,__S,0.0,__S,,
1957-12-10,ET000063450,1957,12,10,228.0,__S,148.0,H_S,61.0,__S,0.0,__S,,
1957-12-12,ET000063450,1957,12,12,228.0,__S,167.0,H_S,22.0,__S,0.0,__S,,
1957-12-13,ET000063450,1957,12,13,228.0,__S,121.0,H_S,22.0,__S,0.0,__S,,
1957-12-14,ET000063450,1957,12,14,222.0,__S,123.0,H_S,22.0,__S,0.0,__S,,
1957-12-15,ET000063450,1957,12,15,222.0,__S,113.0,H_S,22.0,__S,0.0,__S,,
1957-12-16,ET000063450,1957,12,16,228.0,__S,116.0,H_S,11.0,__S,0.0,__S,,
1957-12-17,ET000063450,1957,12,17,222.0,__S,128.0,H_S,22.0,__S,0.0,__S,,
1957-12-18,ET000063450,1957,12,18,222.0,__S,118.0,H_S,22.0,__S,0.0,__S,,
1957-12-19,ET000063450,1957,12,19,228.0,__S,125.0,H_S,28.0,__S,0.0,__S,,
1957-12-20,ET000063450,1957,12,20,250.0,__S,116.0,H_S,39.0,__S,0.0,__S,,
1957-12-21,ET000063450,1957,12,21,239.0,__S,135.0,H_S,39.0,__S,0.0,__S,,
1957-12-22,ET000063450,1957,12,22,228.0,__S,142.0,H_S,28.0,__S,0.0,__S,,
1957-12-23,ET000063450,1957,12,23,239.0,__S,121.0,H_S,28.0,__S,0.0,__S,,
1957-12-24,ET000063450,1957,12,24,228.0,__S,90.0,H_S,11.0,__S,0.0,__S,,
1957-12-25,ET000063450,1957,12,25,211.0,__S,129.0,H_S,0.0,__S,0.0,__S,,
1957-12-26,ET000063450,1957,12,26,228.0,__S,140.0,H_S,22.0,__S,0.0,__S,,
1957-12-27,ET000063450,1957,12,27,239.0,__S,160.0,H_S,50.0,__S,0.0,__S,,
1957-12-28,ET000063450,1957,12,28,228.0,__S,144.0,H_S,72.0,__S,0.0,__S,,
1957-12-29,ET000063450,1957,12,29,228.0,__S,143.0,H_S,61.0,__S,0.0,__S,,
1957-12-30,ET000063450,1957,12,30,222.0,__S,147.0,H_S,61.0,__S,0.0,__S,,
1957-12-31,ET000063450,1957,12,31,211.0,__S,139.0,H_S,61.0,__S,0.0,__S,,
